도형아이디,시도명,시군구명,읍면동명,법정동명,지번,도로명,건물번호,통정보,건물명,동정보,호정보,등본주소,계약주소,준공일,입주형태,지번주소,기준년도,년도값,공간아이디,면적,등급,공간정보,longitude,latitude
47379,서울특별시,동작구,흑석동,흑석동,43-34,현충로6길,5,32통,\N,\N,\N,서울특별시 동작구 흑석동 43-34,서울특별시 동작구 흑석동 43-34번지,1996-04-24,다가구주택,서울특별시 동작구 흑석동 43-34번지,2012-01-01,2012,367,0,3,POINT (126.965979396815 37.5068596273227),126.965979396815,37.5068596273227
47380,서울특별시,동작구,흑석동,흑석동,43-35,현충로6길,7,32통,\N,\N,\N,서울특별시 동작구 흑석동 43-35,서울특별시 동작구 흑석동 43-35번지,1993-08-27,다가구주택,서울특별시 동작구 흑석동 43-35번지,2012-01-01,2012,359,0,3,POINT (126.965900271649 37.5068145326836),126.965900271649,37.5068145326836
47381,서울특별시,동작구,흑석동,흑석동,43-35,현충로6길,7,32통,\N,\N,\N,서울특별시 동작구 흑석동 43-35,서울특별시 동작구 흑석동 43-35번지,1993-08-27,다가구주택,서울특별시 동작구 흑석동 43-35번지,2012-01-01,2012,359,0,3,POINT (126.965900271649 37.5068145326836),126.965900271649,37.5068145326836
63512,서울특별시,은평구,녹번동,녹번동,May-94,녹번로4길,03월 01일,23통,옥천빌라,\N,B01,서울특별시 은평구 녹번동 94-5,서울특별시 은평구 녹번동 94-5번지,1992-12-03,다세대주택,서울특별시 은평구 녹번동 94-5번지,2013-01-01,2013,45,121.108,3,POINT (126.930532831201 37.6056294597712),126.930532831201,37.6056294597712
63513,서울특별시,은평구,녹번동,녹번동,May-94,녹번로4길,03월 01일,23통,옥천빌라,\N,B02,서울특별시 은평구 녹번동 94-5,서울특별시 은평구 녹번동 94-5번지,1992-12-03,다세대주택,서울특별시 은평구 녹번동 94-5번지,2013-01-01,2013,45,121.108,3,POINT (126.930532831201 37.6056294597712),126.930532831201,37.6056294597712
1106,서울특별시,구로구,구로5동,구로동,551-166,구로중앙로32나길,18,5통,\N,\N,\N,서울특별시 구로구 구로5동 551-166,서울특별시 구로구 구로동 551-166번지,1985-12-11,단독주택,서울특별시 구로구 구로동 551-166번지,2012-01-01,2012,325,0,3,POINT (126.885946554544 37.5015926070053),126.885946554544,37.5015926070053
1727,서울특별시,구로구,고척2동,고척동,167-44,고척로55길,27,9통,\N,\N,\N,서울특별시 구로구 고척2동 167-44,서울특별시 구로구 고척동 167-44번지,1989-06-02,단독주택,서울특별시 구로구 고척동 167-44번지,2012-01-01,2012,340,0,3,POINT (126.855391835261 37.5060912582586),126.855391835261,37.5060912582586
1728,서울특별시,구로구,고척2동,고척동,167-44,고척로55길,27,9통,\N,\N,\N,서울특별시 구로구 고척2동 167-44,서울특별시 구로구 고척동 167-44번지,1989-06-02,단독주택,서울특별시 구로구 고척동 167-44번지,2012-01-01,2012,340,0,3,POINT (126.855391835261 37.5060912582586),126.855391835261,37.5060912582586
18434,서울특별시,서초구,양재2동,양재동,300-13,언남16길,33,20통,극동빌라,\N,B01,서울특별시 서초구 양재2동 300-13,서울특별시 서초구 양재동 300-13번지,1993-12-17,다세대주택,서울특별시 서초구 양재동 300-13번지,2012-01-01,2012,380,0,3,POINT (127.046316502172 37.4736893351533),127.046316502172,37.4736893351533
18435,서울특별시,서초구,양재2동,양재동,300-13,언남16길,33,20통,극동빌라,\N,B02,서울특별시 서초구 양재2동 300-13,서울특별시 서초구 양재동 300-13번지,1993-12-17,다세대주택,서울특별시 서초구 양재동 300-13번지,2012-01-01,2012,380,0,3,POINT (127.046316502172 37.4736893351533),127.046316502172,37.4736893351533
